sep=,
구분,파라미터,key,값,단위,의미,값 출처,수식,이론 근거,모델 가정
위협,RCS,threat.rcs_m2,0.01,m²,레이더 반사 단면적. 내부 Pd 곡선의 50% 중심거리(R_half)를 RCS^¼로 이동시킴. 작을수록 위협에는 유리하고 방어 레이더에는 불리.,"참고: 소형 FPV≈0.01㎡(−20dBsm, 공개문헌) · 가정·입력값(미확정, 편집 가능) · 실측 시 교체","R_half(RCS) = R_half,0 · (RCS / RCS₀)^¼","Skolnik, Introduction to Radar Systems (3rd ed.) — 레이더 거리 방정식: 고정 탐지 문턱에서 탐지거리 ∝ RCS^¼. 이 도구는 그 관계를 Pd 곡선 중심에 적용.",RCS가 바뀌면 로지스틱 Pd 50% 중심 R_half만 4제곱근 비율로 이동하고 전이 폭 w는 고정.
위협,속도,threat.speed_m_s,32.8,m/s,위협 접근 속도. 소요시간 예산과 교전 기하(closing)에 직접 사용.,"참고: FPV≈118km/h(목업) · 가정·입력값(미확정, 편집 가능) · 실측 시 교체",closing = v_i + v_t / 반응 중 접근거리 = v_t · t_react,"1차 등속·직선 반경(radial) 운동학: 반응 중 접근 = v_t·t, 접근속도 = v_i + v_t.",
위협,고도 AGL,threat.altitude_m_agl,85,m,진입 고도 AGL. 지상 레이더 LOS 경사거리 √(수평²+고도²)에 반영. 발사 후 EO는 별도 카메라↔표적 상대거리 입력을 사용.,"참고: 목업 기준 · 가정·입력값(미확정, 편집 가능) · 실측 시 교체","r_radar,slant = √(수평² + 고도²) / EO 광학거리 = 카메라↔표적 상대 LOS 입력",지상 센서 LOS = 경사거리 √(수평² + 고도²).,지상 레이더 탐지에만 경사거리 반영. 발사 후 EO는 카메라↔표적 상대 LOS 입력을 직접 사용하고 상대 고도차는 별도 모델링하지 않음.
위협,진입 거리,threat.ingress_range_m,6000,m,run 시작 시 자산으로부터의 거리. P_detect는 여기서 적시 탐지 마감선(필요 탐지거리)까지의 독립 스캔을 누적.,"시나리오 설정값 · 가정·입력값(미확정, 편집 가능) · 실측 시 교체",누적 스윕 시작점 R₀ (Δr = v_t·t_revisit 간격),독립 시행 결합 확률(직렬 게이트/이항): 누적 탐지 P_det = 1 − Π(1 − p_i).,스캔 간 독립. P_detect 성공 게이트는 이 거리부터 필요 탐지거리까지의 스캔만 누적.
위협,진입 방위,threat.approach_bearing_deg,315,°,자산→진입원점 방위(0=N). 현재 축대칭 MOE에서는 지도·커버리지 방향만 바꾸며 P_negate 값에는 영향 없음.,시나리오 설정값,0°=N · 90°=E · 180°=S · 270°=W,"방위 정의(항법): 0°=N, 시계방향.",현재 효과도 운동학은 1차원 축대칭. 방위별 센서/지형/배치 성능 차이는 모델링하지 않음.
위협,표적 크기,threat.characteristic_size_m,0.35,m,인식 가능한 임계 치수(로터/윙 스팬 등). EO/IR 표적 픽셀 수 계산의 분자.,향후 결정(미정 · 대상 기종 미정) · 참고: 소형 FPV≈0.35m,N_px = size · H_px / (range · HFOV_rad),기하광학: 표적 각크기 → 픽셀 수. (인식은 Johnson/NVESD),
레이더,기준 RCS,sensor.ref_rcs_m2,0.01,m²,"레이더 정의값 ①. ""이 RCS를 아래 기준 탐지거리에서 탐지""라는 한 쌍의 기준. 임의 RCS에서는 Pd 50% 중심거리만 RCS^¼로 이동하고 전이 폭은 고정.","레이더 정의(가정): RCS·거리 한 쌍으로 규정 — 가상 체계, 실측 불필요","R_half(RCS) = R_half,0 · (RCS / RCS₀)^¼","Skolnik, Introduction to Radar Systems (3rd ed.) — 레이더 거리 방정식: 고정 탐지 문턱에서 탐지거리 ∝ RCS^¼.",임의 RCS에서는 Pd 곡선의 중심 R_half만 이동하고 로지스틱 전이 폭 w는 고정.
레이더,기준 탐지거리,sensor.ref_detection_range_m,3000,m,"레이더 정의값 ②. 기준 RCS 표적을 이 거리에서 아래 ""기준거리 단일스캔 Pd""로 탐지. 내부 로지스틱 중심(Pd 50% 거리)은 이 값이 아니라 두 값에서 역산됨.","레이더 정의(가정): ""RCS X를 Y km에서 Pd Z로 탐지"" — 데이터시트가 주는 형태 그대로","R_half = R_q − w · ln(P_max/p_q − 1) / (R_q = 기준 탐지거리, p_q = 기준거리 단일스캔 Pd)","Skolnik, Introduction to Radar Systems (3rd ed.) — 레이더 거리 방정식: 기준 RCS₀에서의 탐지거리(곡선 위치).","직관 입력값 — ""이 거리에서 Pd 얼마로 탐지""의 거리 쪽. 내부 로지스틱 중심 R_half는 이 값이 아니라 아래 식으로 역산됩니다."
레이더,기준거리 단일스캔 Pd,sensor.pd_at_ref,0.9,,레이더 정의값 ③. 위 기준 탐지거리에서 한 번 스캔했을 때의 탐지확률. 같은 거리·다른 조건이 같다면 높을수록 좋은 레이더이며 P_max보다 작아야 함.,"참고: 레이더 사양 관례 Pd 0.8~0.9 @ Pfa 1e-6(Skolnik/Barton 계열) · 가정·입력값(미확정, 편집 가능) · 실측 시 교체",p_q = P_max / (1 + e^((R_q − R_half)/w)) / ⇒ R_half = R_q − w · ln(P_max/p_q − 1),"Skolnik, Introduction to Radar Systems (3rd ed.) — 레이더 거리 방정식: 사양서의 탐지거리는 항상 특정 Pd·Pfa 조건에서 인용됨(관례 Pd 0.8~0.9 @ Pfa 1e-6).",단일 스캔 기준(누적 아님). P_max보다 작아야 하며 초과 시 P_max 바로 아래로 클램프.
레이더(고급),최대 Pd,sensor.pd_max,0.98,,[곡선 형태] 근거리 단일스캔 Pd의 로지스틱 천장. 기준거리·Pd를 유지하도록 중심이 함께 재보정되므로 이 값만 높인다고 항상 성능이 좋아지지는 않음.,가정: 곡선 상한(공개문헌 근사) · 편집 가능,P_d(r ≪ R_half) → P_max,탐지확률은 SNR의 함수(Marcum Q). 근거리 SNR 충분 시 상한.,거리 롤오프를 로지스틱으로 근사(실제 ROC 아님). 사양값이 아닌 곡선 형태 가정.
